Rank,Tier,Organization,Reality Checker verdict,Score,Confidence,Why it qualifies,Evidence,Unknowns,Disqualification risks,Relevant contact,Recommended outreach angle
11,B,Inclusion Foothills Association,CONDITIONAL,50,Medium,"Benevity confirms a High River address, and news coverage describes it as a CRA-registered charity marking 25 years. The founder retired and a new ED took over in 2025.","Alberta address: ""INCLUSION FOOTHILLS ASSOCIATION, BOX 5146, HIGH RIVER, Alberta T1V 1M3"" (Benevity MCP) | Registered charity, 25 years: ""Designated by Canada Revenue Agency (CRA) as a registered charity; celebrated 25 years."" (https://www.westernwheel.ca/western-wheel-cares/foothills-non-profit-celebrates-25-years-of-inclusion-7980006) | Founder-to-successor transition: ""Vanessa McKenzie took on the executive director role in 2025 following the retirement of founder Orvella Small."" (https://www.westernwheel.ca/western-wheel-cares/inclusion-lasts-a-lifetime-for-this-foothills-non-profit-11517942)","Total revenue. Downgraded to UNKNOWN: the ~$161K/yr figure is arithmetic from one 3-year $483.5K grant, not reported revenue. It makes revenue of $100K+ plausible but not evidenced.; Any past CIP funding; Strategic plan status; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","None found; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","Vanessa McKenzie, Executive Director (https://www.westernwheel.ca/western-wheel-cares/inclusion-lasts-a-lifetime-for-this-foothills-non-profit-11517942)","The first year after a founder retires is when governance, succession and systems gaps show. CIP-ODC (up to $50K, due Oct 15, 2026) can fund that post-founder transition work."
12,B,Volunteer Lethbridge Association,CONDITIONAL,48,Medium,"Charity listing (Benevity) in Lethbridge. New ED Sandi Davis started May 2025, and the org rebuilt its model after COVID.","New ED and model rebuild: ""New executive director Sandi Davis ... Community Volunteer Management Model to 'return capacity' to the sector"" (https://www.mylethbridgenow.com/53924/news/community/non-profit/volunteer-lethbridge-introduces-new-executive-director/) | Charity listing and address: ""324 5 ST S, LETHBRIDGE AB T1J2B5"" (Benevity cause 209e6efc-704d-4a82-95fe-3b625d4157aa)","Revenue (it may be small, which would cap the award below $50K); Past CIP Operating; CRA BN not seen",Small revenue could shrink the award; Possible relationship conflict: it is a capacity-builder that may compete with or partner on consulting services. Check before outreach,"Sandi Davis, Executive Director (named in https://www.mylethbridgenow.com/53924/news/community/non-profit/volunteer-lethbridge-introduces-new-executive-director/)","Your ED is 16 months in and you build capacity for other Lethbridge nonprofits. CIP-ODC (Oct 15, 2026) can fund your own strategic plan, and you could act as fiscal agent for a Collaboratives bid of up to $100K."
13,B,Wild Rose Community Connections,CONDITIONAL,42,Medium,"Benevity and 211 confirm a High River nonprofit with active programs. Local news reports its food rescue program is in jeopardy from falling donations and grants, which is a sustainability need.","Alberta address and active programs: ""54 10 Avenue SE, High River, AB; FoodConnexx, SeniorConnexx, FamilyConnexx, DadConnexx"" (https://ab.211.ca/record/1136141/agency/) | Listed on Benevity: ""Wild Rose Community Connections, BOX 5714, HIGH RIVER, Alberta T1V1P3"" (Benevity MCP) | Sustainability need: ""High River food rescue and hamper program in jeopardy"" (https://okotoksonline.com/articles/high-river-food-rescue-and-hamper-program-in-jeopardy)","Revenue: ~$200K is a ZoomInfo estimate only, so UNKNOWN; Past CIP; Date of the 'in jeopardy' article; Registered charity versus society only; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Revenue may be near $100K; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","Marianne Dickson, Executive Director (https://www.linkedin.com/in/marianne-dickson-26231930/). This is a self-reported LinkedIn profile and whether it is current is unverified.","Donations are falling and grant options are narrowing. CIP-ODC (up to $50K, due Oct 15, 2026) funds the fund-development and resource-management plan that keeps FoodConnexx off the 'in jeopardy' list."
14,B,Binam of Calgary - Bamileke Association,CONDITIONAL,38,Medium,"A local news article states it received $60,000 through the CIP operating-based grant for 2023/24, with an Airdrie location in provincial records.","CIP Operating 2023/24: ""Binam of Calgary - Bamileke Association received $60,000 for the 2023/2024 fiscal year through the Community Initiatives Program operating-based grant."" (https://discoverairdrie.com/articles/two-airdrie-organizations-receive-provincial-funding)","Incorporation Act and good standing. A1 was downgraded to UNKNOWN because 'founded in 2013' on the org website does not show incorporation.; Revenue; Leadership names; Which of several web domains is the legal entity; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Not a registered charity per Benevity (that alone is not disqualifying, since societies are eligible); Possible multiple or overlapping entities; Revenue may be under $100K, which would cap the award below $50K; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.",UNKNOWN; general contact: https://binamofcalgary.org/,"Your $60K CIP Operating grant for 2023/24 came from a stream that no longer exists. CIP-ODC (due Oct 15, 2026) is the replacement, and we can help frame an organizational-development ask around volunteer-to-staff capacity."
15,B,Alberta Immigrant Women & Children Centre,CONDITIONAL,38,Medium,Registered charity (BN 806741765RR0001 per CharityData; Benevity lists it at an Edmonton address) that got a CIP Operational Assistance grant in 2020-21.,"Registered charity: ""ALBERTA IMMIGRANT WOMEN & CHILDREN CENTRE, BN 806741765RR0001"" (https://www.charitydata.ca/charity/alberta-immigrant-women-and-children-centre/806741765RR0001/) | Past CIP Operating (2020-21): ""Alberta Immigrant Women & Children Centre receiving a CIP - Operational Assistance 2021 grant in Edmonton (amount truncated)"" (https://extranet.gov.ab.ca/env/previous-grant-recipients-database/Home/Details?fiscalYearStart=2020&fiscalYearEnd=2021&municipalityId=3282&sort=2) | Alberta address: ""13415C FORT RD NW, EDMONTON AB T5A1C6"" (Benevity cause ce80300f-6690-48b2-abe0-ee2dd89b3e5a)",Revenue (no figure at all); CIP award amount; Leadership and contact; Website (none on Benevity either); Any org-development signal; Registration date,"The CIP evidence is from 2020-21, which is pre-2022 and a weak signal; No website suggests a small org. Revenue could be under $100K, which would cap the award below $50K","UNKNOWN. No website found. Reach them through the Benevity or CharityData listing, or at 13415C Fort Rd NW, Edmonton.","You held CIP Operating funding in 2020-21. That stream is gone. The Oct 15, 2026 CIP-ODC intake is its replacement, and it pays for systems, governance and fund development rather than programs."
16,B,Creating Hope Society of Alberta,CONDITIONAL,37,Medium,"Awarded $75,000 CIP Operational Assistance in 2020-21 for a Program Coordinator and operating costs. Benevity lists it at an Edmonton address.","Past CIP Operating $75K (2020-21): ""Creating Hope Society of Alberta in Edmonton was awarded $75,000 for CIP - Operational Assistance 2021 for Program Coordinator and operating costs."" (https://extranet.gov.ab.ca/env/previous-grant-recipients-database/Home/Details?fiscalYearStart=2020&fiscalYearEnd=2021&municipalityId=3282&sort=2) | Alberta address / charity listing: ""4 - 10865 96 ST NW, EDMONTON AB T5H2K2"" (Benevity cause 0272dd0d-047b-4230-b8f2-7f8475ff3486)",CRA BN and registration status (the discovery marked it UNKNOWN; a Benevity listing strongly suggests a charity but shows no number); Revenue; Contact; Website; Org-development signal,"The CIP evidence is from 2020-21, which is pre-2022; It may depend on the lost operating dollars, and CIP-ODC does not fund ongoing program staff","UNKNOWN. No website on Benevity. Mailing address: 4 - 10865 96 St NW, Edmonton.","Your $75K CIP Operating grant paid for a coordinator, and that stream has now closed. CIP-ODC (deadline Oct 15, 2026) can fund a sustainability and fund-development plan to replace that dependency."
17,B,Autism Society of Edmonton Area (Autism Edmonton),CONDITIONAL,36,Medium,"Benevity confirms an Edmonton org operating since 1971. The provincial grant database records a 2020/21 CIP Operational Assistance grant of $44,845 for ED, operating and organizational-development costs.","Operating since 1971, Edmonton: ""Since 1971, Autism Edmonton (Autism Society of Edmonton Area) has been providing services"" (Benevity MCP) | CIP Operating 2020/21 (pre-2022): ""received CIP - Operational Assistance 2021 funding of $44,845.00 in the 2020/2021 fiscal year for Executive Director, operating, and organizational development costs"" (https://extranet.gov.ab.ca/env/previous-grant-recipients-database/Home/Details?fiscalYearStart=2020&fiscalYearEnd=2021&municipalityId=3282&sort=2)","Revenue; ED name; Any CIP Operating after 2021; Whether the snippet is a verbatim database line or a search paraphrase; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","CIP signal is 2020/21, which is weak; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.",UNKNOWN; general contact: https://www.autismedmonton.org/,"You have used CIP Operating for ED and organizational-development costs before. CIP-ODC (due Oct 15, 2026) is now the provincial door for that kind of spend."
18,B,Calgary Girls Choir Society,CONDITIONAL,36,Medium,"Benevity confirms a Calgary society that has run since 1995, and it posted an Executive Director search closing March 16, 2026, so a new ED is likely in their first months.","Leadership transition 2026: ""Recruiting an Executive Director, applications due March 16, 2026"" (https://calgaryartsdevelopment.com/classified-ads/executive-director-calgary-girls-choir-2026/) | Alberta address: ""CALGARY GIRLS CHOIR SOCIETY, 3704 37 St SW, Calgary AB T3E 3C3"" (Benevity MCP)","Revenue; New ED name; Past CIP; Whether arts orgs fundable through AFA are eligible for or competitive in CIP-ODC (check guidelines); Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Possible program-fit issue for arts orgs; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.",UNKNOWN (new ED hired after March 2026 not identified); general: Calgary Girls Choir website via Benevity,"A new ED in 2026 is the ideal moment for a leadership-transition and strategy project, and CIP-ODC (due Oct 15, 2026) funds exactly that."
19,B,Alberta Mindfulness Association,CONDITIONAL,33,Low,"The 2024-25 CIP Operating Intake 1 approved list reportedly shows Alberta Mindfulness Association, Calgary, $37,580.","CIP Operating 2024-25: ""Alberta Mindfulness Association, Calgary, $37,580."" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Business number is RC, not RR: ""724740279RC0001"" (https://albertamindfulness.ca/professional-team)","Legal form: an RC number plus no Benevity listing suggests it is not a registered charity, and the incorporation Act is unknown; Revenue: a $37,580 award suggests a smaller base (inference); Faith or spiritual requirement: mindfulness can be secular or Buddhist-rooted; unconfirmed; ED; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Could be a professional or training association with member-benefit focus; Possible for-profit corporation behind the RC number; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.",UNKNOWN; general contact: https://albertamindfulness.ca/professional-team,"You were approved for $37,580 in 2024-25 CIP Operating. That stream is closed, and CIP-ODC (due Oct 15, 2026) funds strategic-leadership and resilience work instead."
20,B,The SPEC Association for Children and Families,CONDITIONAL,33,Low,"Charity listing (Benevity) in Brooks, operating since 1978. It appears (per a search summary) on a 2024-25 CIP Project-Based list for payroll software.","CIP Project-Based (not Operating): ""SPEC Payroll Software, Brooks [search summary; PDF not opened]"" (https://www.alberta.ca/system/files/acsw-cip-project-based-approved-applicants-2024-25-t2.pdf) | Established 1978, Brooks: ""Established in 1978, the SPEC Association for Children & Families ... 101, 327 3RD STREET WEST, BROOKS"" (Benevity cause d9b60f2d-7d64-4c5f-a16b-5513c6dd439a)",Revenue; Contact; Whether the project grant is still open,"S1 is NOT met: this is the Project stream, not Operating; Evidence rests on search summaries","UNKNOWN. Reach them through the Benevity listing, or at 101, 327 3rd St W, Brooks.","You already used CIP to modernize payroll. CIP-ODC (Oct 15, 2026) funds the next layer: HR, finance and governance systems."
21,B,Helping Hands Society of Cochrane & Area,CONDITIONAL,33,Low,Benevity and CanadaHelps confirm a Cochrane charity. The Cochrane Eagle reports it recruiting new board positions.,"Alberta charity: ""Designated by CRA as a registered charity"" (https://www.canadahelps.org/en/charities/helping-hands-society-of-cochrane-area/) | Board expansion: ""Helping Hands looking to fill new board positions"" (https://www.cochraneeagle.ca/local-news/helping-hands-looking-to-fill-new-board-positions-9616894)","Revenue; Past CIP; Date of board article; Current ED; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Volunteer-driven org; revenue may be under $100K; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","UNVERIFIED: 'Laura McDonald, ED' came from a search summary of a 2022 hiring post, not a quoted page line. General: https://helpinghandscochrane.ca/","As the board grows, CIP-ODC (due Oct 15, 2026) can fund governance and volunteer-management systems that match the society's growth."
22,B,Abbottsfield Youth Project (AYP) Society,CONDITIONAL,30,Medium,"Benevity confirms an active Edmonton society. The provincial database records a 2020/21 CIP Operational grant of $30,000 for staff, rent and insurance.","Alberta address: ""10608 34 Street NW, Edmonton, Alberta T5W 1Y2"" (Benevity MCP) | CIP Operating 2020/21 (pre-2022): ""received $30,000.00 in fiscal year 2020/2021 for Child Development Coordinator, rent, and insurance costs"" (https://extranet.gov.ab.ca/env/previous-grant-recipients-database/Home/Details?fiscalYearStart=2020&fiscalYearEnd=2021&municipalityId=3282&sort=2)","Revenue; Leadership; Website (Benevity has a verified link, but the URL was not captured); Faith stance (none indicated); CIP after 2021; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","A $30K award hints at a smaller budget (inference), which would cap the award below $50K; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.",UNKNOWN; general contact via the Benevity cause link,"AYP relied on CIP Operating for core costs in 2020/21. CIP-ODC (due Oct 15, 2026) can't pay rent, but it can fund the resilience and resource-management plan that reduces that dependence."
